datapoints	percentage	call	xmin	xmax	xmean	bmin	bmax	bmean
9000	1.53	bio-xtal	1.26	11.89	2.10	-18.66	-4.45	-6.27
9000	92.09	same	1.26	11.89	2.10	-18.66	-4.45	-6.27
9000	7.91	different	1.26	11.89	2.10	-18.66	-4.45	-6.27
9200	43.66	xtal-xtal	1.24	11.89	2.08	-18.66	-4.42	-6.23
9200	48.47	bio-bio	1.24	11.89	2.08	-18.66	-4.42	-6.23
9200	6.34	xtal-bio	1.24	11.89	2.08	-18.66	-4.42	-6.23
9200	1.53	bio-xtal	1.24	11.89	2.08	-18.66	-4.42	-6.23
9200	92.13	same	1.24	11.89	2.08	-18.66	-4.42	-6.23
9200	7.87	different	1.24	11.89	2.08	-18.66	-4.42	-6.23
9400	43.67	xtal-xtal	1.21	11.89	2.06	-18.66	-4.38	-6.19
9400	48.49	bio-bio	1.21	11.89	2.06	-18.66	-4.38	-6.19
9400	6.33	xtal-bio	1.21	11.89	2.06	-18.66	-4.38	-6.19
9400	1.51	bio-xtal	1.21	11.89	2.06	-18.66	-4.38	-6.19
9400	92.16	same	1.21	11.89	2.06	-18.66	-4.38	-6.19
9400	7.84	different	1.21	11.89	2.06	-18.66	-4.38	-6.19
9600	43.73	xtal-xtal	1.20	11.89	2.04	-18.66	-4.34	-6.15
9600	48.49	bio-bio	1.20	11.89	2.04	-18.66	-4.34	-6.15
9600	6.27	xtal-bio	1.20	11.89	2.04	-18.66	-4.34	-6.15
9600	1.51	bio-xtal	1.20	11.89	2.04	-18.66	-4.34	-6.15
9600	92.22	same	1.20	11.89	2.04	-18.66	-4.34	-6.15
9600	7.78	different	1.20	11.89	2.04	-18.66	-4.34	-6.15
9800	43.80	xtal-xtal	1.17	11.89	2.03	-18.66	-4.31	-6.11
9800	48.46	bio-bio	1.17	11.89	2.03	-18.66	-4.31	-6.11
9800	6.20	xtal-bio	1.17	11.89	2.03	-18.66	-4.31	-6.11
9800	1.54	bio-xtal	1.17	11.89	2.03	-18.66	-4.31	-6.11
9800	92.26	same	1.17	11.89	2.03	-18.66	-4.31	-6.11
9800	7.74	different	1.17	11.89	2.03	-18.66	-4.31	-6.11
10000	43.86	xtal-xtal	1.15	11.89	2.01	-18.66	-4.28	-6.08
10000	48.45	bio-bio	1.15	11.89	2.01	-18.66	-4.28	-6.08
10000	6.14	xtal-bio	1.15	11.89	2.01	-18.66	-4.28	-6.08
10000	1.55	bio-xtal	1.15	11.89	2.01	-18.66	-4.28	-6.08
10000	92.31	same	1.15	11.89	2.01	-18.66	-4.28	-6.08
10000	7.69	different	1.15	11.89	2.01	-18.66	-4.28	-6.08
10200	43.89	xtal-xtal	1.13	11.89	1.99	-18.66	-4.24	-6.04
10200	48.47	bio-bio	1.13	11.89	1.99	-18.66	-4.24	-6.04
10200	6.11	xtal-bio	1.13	11.89	1.99	-18.66	-4.24	-6.04
10200	1.53	bio-xtal	1.13	11.89	1.99	-18.66	-4.24	-6.04
10200	92.36	same	1.13	11.89	1.99	-18.66	-4.24	-6.04
10200	7.64	different	1.13	11.89	1.99	-18.66	-4.24	-6.04
10400	43.91	xtal-xtal	1.12	11.89	1.98	-18.66	-4.21	-6.01
10400	48.44	bio-bio	1.12	11.89	1.98	-18.66	-4.21	-6.01
10400	6.09	xtal-bio	1.12	11.89	1.98	-18.66	-4.21	-6.01
10400	1.56	bio-xtal	1.12	11.89	1.98	-18.66	-4.21	-6.01
10400	92.36	same	1.12	11.89	1.98	-18.66	-4.21	-6.01
10400	7.64	different	1.12	11.89	1.98	-18.66	-4.21	-6.01
10600	43.93	xtal-xtal	1.10	11.89	1.96	-18.66	-4.18	-5.97
10600	48.45	bio-bio	1.10	11.89	1.96	-18.66	-4.18	-5.97
10600	6.07	xtal-bio	1.10	11.89	1.96	-18.66	-4.18	-5.97
10600	1.55	bio-xtal	1.10	11.89	1.96	-18.66	-4.18	-5.97
10600	92.39	same	1.10	11.89	1.96	-18.66	-4.18	-5.97
10600	7.61	different	1.10	11.89	1.96	-18.66	-4.18	-5.97
10800	43.93	xtal-xtal	1.08	11.89	1.94	-18.66	-4.16	-5.94
10800	48.44	bio-bio	1.08	11.89	1.94	-18.66	-4.16	-5.94
10800	6.07	xtal-bio	1.08	11.89	1.94	-18.66	-4.16	-5.94
10800	1.56	bio-xtal	1.08	11.89	1.94	-18.66	-4.16	-5.94
10800	92.37	same	1.08	11.89	1.94	-18.66	-4.16	-5.94
10800	7.63	different	1.08	11.89	1.94	-18.66	-4.16	-5.94
11000	43.95	xtal-xtal	1.06	11.89	1.93	-18.66	-4.13	-5.91
11000	48.44	bio-bio	1.06	11.89	1.93	-18.66	-4.13	-5.91
11000	6.05	xtal-bio	1.06	11.89	1.93	-18.66	-4.13	-5.91
11000	1.56	bio-xtal	1.06	11.89	1.93	-18.66	-4.13	-5.91
11000	92.38	same	1.06	11.89	1.93	-18.66	-4.13	-5.91
11000	7.62	different	1.06	11.89	1.93	-18.66	-4.13	-5.91
11200	43.95	xtal-xtal	1.04	11.89	1.91	-18.66	-4.10	-5.87
11200	48.42	bio-bio	1.04	11.89	1.91	-18.66	-4.10	-5.87
11200	6.05	xtal-bio	1.04	11.89	1.91	-18.66	-4.10	-5.87
11200	1.58	bio-xtal	1.04	11.89	1.91	-18.66	-4.10	-5.87
11200	92.37	same	1.04	11.89	1.91	-18.66	-4.10	-5.87
